,1to2,2to1,id,주소2,지역,위도,경도,rate,category,diff
1999,23849.0,23901.0,3501.0,광진구청 앞,광진구,37.539501,127.083,0.49945549738219897,neutral,52.0
464,24243.0,23820.0,634.0,외국어대 정문 앞,동대문구,37.59602,127.05983,0.5044004743773797,neutral,423.0
127,24444.0,23695.0,240.0,문래역 4번출구 앞,영등포구,37.518738,126.895576,0.5077795550385342,neutral,749.0
1579,21649.0,23669.0,2264.0,이수역 1번출구,서초구,37.488556,126.982574,0.47771305000220665,neutral,2020.0
658,18100.0,23582.0,912.0,응암오거리,은평구,37.589661,126.916946,0.4342401996065448,몰리는 지역,5482.0
577,21689.0,23566.0,787.0,양천아파트 입구,양천구,37.507904,126.862648,0.4792619600044194,neutral,1877.0
1478,23775.0,23541.0,2107.0,도림천 신화교,관악구,37.475471,126.936455,0.5024727364950545,neutral,234.0
1439,20419.0,23507.0,2058.0,노량진동 맥도널드앞,동작구,37.513523,126.943527,0.4648499749578837,neutral,3088.0
130,22857.0,23500.0,243.0,이앤씨드림타워 앞,영등포구,37.527084,126.89138,0.4930646935737861,neutral,643.0
1961,21284.0,23328.0,3219.0,영등포역 2번출구,영등포구,37.514874,126.907585,0.47709136555186943,neutral,2044.0
78,21146.0,23284.0,184.0,SK망원동주유소 건너편,마포구,37.558949,126.907753,0.4759396803961287,neutral,2138.0
692,18644.0,23273.0,956.0,응암시장교차로,은평구,37.594376,126.918159,0.44478373929431975,몰리는 지역,4629.0
528,19683.0,23267.0,729.0,서부식자재마트 건너편,양천구,37.51038,126.866798,0.45827706635622817,neutral,3584.0
30,20988.0,23257.0,131.0,증산2교,서대문구,37.584171,126.911102,0.4743586845971296,neutral,2269.0
2159,19315.0,23255.0,3789.0,염창나들목,강서구,37.55680466,126.8715591,0.45372327930467465,neutral,3940.0
811,21568.0,23164.0,1106.0,신방화사거리,강서구,37.573032,126.816452,0.4821604220692122,neutral,1596.0
217,22970.0,23140.0,342.0,대학로 마로니에공원,종로구,37.579784,127.002533,0.49815658208631536,neutral,170.0
216,22970.0,23140.0,342.0,대학로 마로니에공원,종로구,37.57978439,127.002533,0.49815658208631536,neutral,170.0
1085,21048.0,23128.0,1451.0,중랑세무서,중랑구,37.592758,127.07267,0.47645780514306413,neutral,2080.0
354,21372.0,22915.0,498.0,연남동주민센터 앞,마포구,37.564651,126.922127,0.4825795380134125,neutral,1543.0
365,23016.0,22837.0,512.0,뚝섬역 1번 출구 옆,성동구,37.548561,127.045006,0.5019518897345866,neutral,179.0
159,23703.0,22823.0,276.0,SK 영등포주유소,영등포구,37.518284,126.912636,0.5094570777629712,neutral,880.0
1086,18639.0,22808.0,1452.0,겸재교 진입부,중랑구,37.585655,127.07505,0.44970685453711967,몰리는 지역,4169.0
1845,23097.0,22800.0,2724.0,(재)FITI시험연구원,강서구,37.568665,126.838799,0.5032355055886005,neutral,297.0
1605,20652.0,22752.0,2301.0,현대고등학교 건너편,강남구,37.524071,127.02179,0.4758086812275366,neutral,2100.0
885,22406.0,22679.0,1197.0,엠펠리체 호텔 건너편,강서구,37.560242,126.835808,0.49697238549406675,neutral,273.0
476,21883.0,22601.0,648.0,장안동위더스빌옆,동대문구,37.5667,127.062424,0.4919296825825016,neutral,718.0
746,22005.0,22583.0,1024.0,강동구청 앞,강동구,37.529251,127.123108,0.4935184354534852,neutral,578.0
1113,22003.0,22573.0,1503.0,이디야 커피 수유역점 앞,강북구,37.639278,127.026756,0.49360642498205315,neutral,570.0
471,21987.0,22439.0,641.0,용두역 4번출구,동대문구,37.573753,127.038536,0.4949128888488723,neutral,452.0
396,22064.0,22427.0,551.0,구의삼성쉐르빌 앞,광진구,37.540062,127.094498,0.4959205232518936,neutral,363.0
1895,21030.0,22401.0,2910.0,도깨비시장,노원구,37.622093,127.074425,0.4842163431650204,neutral,1371.0
949,21688.0,22382.0,1278.0,송파구청 교차로,송파구,37.515831,127.106796,0.4921261629226231,neutral,694.0
1162,21938.0,22368.0,1569.0,수유역2번출구,강북구,37.63797,127.025902,0.4951473841014761,neutral,430.0
2067,20936.0,22343.0,3600.0,사근빗물펌프장 건너편,성동구,37.56119156,127.0496826,0.4837450033503547,neutral,1407.0
132,22207.0,22324.0,245.0,삼성생명 당산사옥 앞,영등포구,37.528263,126.896629,0.498686308414363,neutral,117.0
1856,21910.0,22294.0,2739.0,수명산파크1단지교차로,강서구,37.553585,126.828568,0.49565650167405667,neutral,384.0
279,25440.0,22292.0,415.0,DMC역 9번출구 앞,마포구,37.577469,126.897362,0.5329757814464091,neutral,3148.0
1190,21233.0,22089.0,1643.0,태릉입구역 8번출구,노원구,37.617367,127.075211,0.490120493052029,neutral,856.0
2011,21958.0,22041.0,3514.0,왕십리교회옆,성동구,37.566261,127.023697,0.49905679674538056,neutral,83.0
394,22071.0,22015.0,549.0,아차산역 3번출구,광진구,37.551224,127.089706,0.5006351222610352,neutral,56.0
808,21076.0,22013.0,1102.0,방화사거리 마을버스 버스정류장,강서구,37.573643,126.811806,0.48912715542249763,neutral,937.0
1197,21290.0,22005.0,1655.0,공릉1단지아파트,노원구,37.631111,127.07016,0.49174269546136967,neutral,715.0
1773,21430.0,21991.0,2610.0,여흥레이크빌 앞 (석촌호수 까페거리),송파구,37.510441,127.106377,0.49353999216968747,neutral,561.0
135,19092.0,21960.0,249.0,여의도중학교 옆,영등포구,37.52412,126.936546,0.4650686933645133,neutral,2868.0
845,22812.0,21941.0,1151.0,마곡역1번출구,강서구,37.560234,126.823471,0.5097311912050588,neutral,871.0
1418,19503.0,21940.0,2015.0,신대방삼거리역 6번출구쪽,동작구,37.499855,126.929565,0.4705981709818305,neutral,2437.0
2142,19064.0,21929.0,3769.0,가양동 이마트 앞,강서구,37.55713272,126.8631439,0.4650550093918474,neutral,2865.0
914,21521.0,21867.0,1231.0,잠실역 6번출구,송파구,37.514088,127.09903,0.4960127224117267,neutral,346.0
283,23649.0,21803.0,419.0,홈플러스 앞,마포구,37.56842,126.899429,0.5203071371996831,neutral,1846.0
407,18669.0,21788.0,563.0,성동세무서 건너편,성동구,37.547913,127.062752,0.46145290061052474,neutral,3119.0
461,19057.0,21755.0,630.0,동대문구 보건소,동대문구,37.574852,127.040306,0.46694599627560524,neutral,2698.0
2329,19058.0,21635.0,4483.0,잠실나들목4,송파구,37.51632309,127.084343,0.46833607745803946,neutral,2577.0
259,21462.0,21583.0,393.0,동대문역 8번 출구,종로구,37.570141,127.009377,0.4985944941340458,neutral,121.0
2059,21692.0,21508.0,3575.0,자양사거리 (LG 유플러스),광진구,37.536575,127.082581,0.5021296296296296,neutral,184.0
864,23695.0,21480.0,1173.0,강서구청사거리(SH타워),강서구,37.556259,126.853317,0.5245157719977864,neutral,2215.0
319,23542.0,21437.0,458.0,광화문역 5번출구,종로구,37.569939,126.977539,0.5233998087996621,neutral,2105.0
1203,20794.0,21433.0,1662.0,노원역7번출구,노원구,37.654114,127.059151,0.49243375091765934,neutral,639.0
986,19979.0,21425.0,1332.0,석계역 5번출구 건너편,성북구,37.613556,127.066093,0.4825379190416385,neutral,1446.0
358,22092.0,21292.0,505.0,자양사거리 광진아크로텔 앞,광진구,37.53701,127.082245,0.5092199889360133,neutral,800.0
2007,20900.0,21262.0,3509.0,세종사이버대학교,광진구,37.553417,127.073196,0.49570703477064654,neutral,362.0
77,21024.0,21223.0,183.0,하늘채코오롱아파트 건너편,마포구,37.565166,126.919395,0.497644803181291,neutral,199.0
501,20917.0,21206.0,677.0,청량리역 4번 5번출구 사이,동대문구,37.580151,127.045799,0.4965695700686086,neutral,289.0
