,bike_id,bus_id,bus_name,경도,위도
206,[2102 2135 2136 2164 2173 2174 2175],21152,패션문화의거리입구,126.929003,37.486635
207,[2109 2135 2136 2137 2164 2195 3807],21262,관악우체국.양지병원,126.933148,37.484452
208,[2109 2137 2164 2190 2195 2196 3807],21118,KT&G관악지점,126.936125,37.484533
209,[2108 2145 2169 2179 2189 2190 2196 3812],21119,봉천역.관악초등학교,126.943247,37.482009
210,[2111 2112 2116 2128 2171 2179 3311 3812 3816],21120,KT관악지점,126.948461,37.481483
211,[2111 2112 2116 2119 2128 2171 2186 2198 2199 3311 3810 3816],21121,봉천사거리,126.954698,37.480266
212,[2111 2122 2128 2159 2186 2198 2199 3810 3813 3304],21122,낙성대동,126.957505,37.479184
213,[2122 2148 2159 2165 2167 2186 2198 2199 3305 3810 3813 3304],21123,낙성대입구,126.960887,37.477844
214,[2148 2165 2167 3305 3813 3304],21124,인헌중고.서울미술고,126.966516,37.475682
215,[3815],21125,예술인마을.사당초등학교,126.973989,37.47593
216,[2034 2089 2104 2222 3815],21126,남서울농협남현동지점,126.977301,37.476371
217,[2034 2089 2104 2222 2223 2281 3815],21161,사당역4번출구,126.981359,37.475541
218,[2104 2223],21027,사당자동차학원,126.982781,37.472236
219,[2284 2289],21163,남태령역,126.987784,37.46557
220,[2284 2289],22026,남태령역,126.988088,37.465695
221,[2034 2089 2104 2222 2223 2281 3815],22028,사당역,126.981803,37.474927
222,[2034 2089 2104 2222 3815],20141,사당1동관악시장앞,126.977952,37.47679
223,[3815],20142,예술인마을,126.972845,37.476049
224,[2122 2148 2165 2167 3305 3813 3304],21101,서울미술고.인헌중고,126.965554,37.476466
225,[2122 2148 2159 2165 2167 2186 2198 2199 3305 3810 3813 3304],21102,낙성대입구,126.961876,37.47791
226,[2111 2122 2128 2171 2186 2198 2199 3311 3810],21103,행운동주민센터,126.956869,37.479844
227,[2111 2112 2116 2119 2128 2171 2179 3311 3812 3816],21104,서울대입구역5번출구,126.951014,37.481628
